date,week,year,month,day,volume,close,vwap,trade_count
2020-10-08,41,2020,October,Thursday,40926161,425.92,432.315765,653970
2020-10-09,41,2020,October,Friday,29550775,433.95,431.912135,477583
2020-10-12,42,2020,October,Monday,39601989,442.3,443.19399,682642
2020-10-13,42,2020,October,Tuesday,35068484,446.65,444.544064,602363
2020-10-14,42,2020,October,Wednesday,48629282,461.3,459.501003,839947
2020-10-15,42,2020,October,Thursday,36217876,448.88,448.768244,644706
2020-10-16,42,2020,October,Friday,33243107,439.67,447.773451,570923
2020-10-19,43,2020,October,Monday,36870233,430.83,437.927729,635262
2020-10-20,43,2020,October,Tuesday,32243856,421.94,424.047138,649252
2020-10-21,43,2020,October,Wednesday,33246161,422.64,428.135617,635631
2020-10-22,43,2020,October,Thursday,40689938,425.79,432.024973,696433
2020-10-23,43,2020,October,Friday,34163055,420.63,414.919519,714498
2020-10-26,44,2020,October,Monday,28889500,420.28,417.314681,531458
2020-10-27,44,2020,October,Tuesday,23217130,424.68,424.833874,405456
2020-10-28,44,2020,October,Wednesday,26016314,406.02,410.910901,600779
2020-10-29,44,2020,October,Thursday,23237915,410.83,412.204759,458829
2020-10-30,44,2020,October,Friday,43421829,388.04,389.621257,993927
2020-11-02,45,2020,November,Monday,29895974,400.51,398.601295,512516
2020-11-03,45,2020,November,Tuesday,34962887,423.9,420.625673,607997
2020-11-04,45,2020,November,Wednesday,32859767,420.84,423.735683,574861
2020-11-05,45,2020,November,Thursday,29009991,438.09,433.361093,526076
2020-11-06,45,2020,November,Friday,22206906,429.95,429.664633,389222
2020-11-09,46,2020,November,Monday,35716155,421.26,437.602009,673357
2020-11-10,46,2020,November,Tuesday,30775582,410.36,408.270044,670832
2020-11-11,46,2020,November,Wednesday,17885275,417.13,415.540197,335037
2020-11-12,46,2020,November,Thursday,20338465,411.76,415.366993,395243
2020-11-13,46,2020,November,Friday,20140374,408.5,406.197292,499088
2020-11-16,47,2020,November,Monday,27360737,408.09,421.736718,582442
2020-11-17,47,2020,November,Tuesday,62393558,441.61,447.45754,1216430
2020-11-18,47,2020,November,Wednesday,78898617,486.64,475.368863,1470207
2020-11-19,47,2020,November,Thursday,63812701,499.27,499.73328,1129599
2020-11-20,47,2020,November,Friday,33796691,489.61,494.295217,642836
2020-11-23,48,2020,November,Monday,51106315,521.49,518.997817,906054
2020-11-24,48,2020,November,Tuesday,54748191,555.38,546.663036,1051195
2020-11-25,48,2020,November,Wednesday,50058184,574.0,562.048369,924438
2020-11-27,48,2020,November,Friday,38250684,585.76,590.237156,783387
2020-11-30,49,2020,November,Monday,64413229,567.6,581.560454,1282812
2020-12-01,49,2020,December,Tuesday,41143950,584.76,583.860017,793964
2020-12-02,49,2020,December,Wednesday,48735846,568.82,562.077048,1016400
2020-12-03,49,2020,December,Thursday,43325929,593.38,591.688164,843518
2020-12-04,49,2020,December,Friday,29781022,599.04,593.634768,590451
2020-12-07,50,2020,December,Monday,57377241,641.76,630.848279,1092396
2020-12-08,50,2020,December,Tuesday,65326352,649.88,636.330534,1202217
2020-12-09,50,2020,December,Wednesday,72159651,604.48,620.622286,1678948
2020-12-10,50,2020,December,Thursday,68211327,627.07,607.705989,1343748
2020-12-11,50,2020,December,Friday,47456210,609.99,610.533475,879034
2020-12-14,51,2020,December,Monday,52968820,639.83,632.89465,934553
2020-12-15,51,2020,December,Tuesday,46156985,633.25,636.015648,809051
2020-12-16,51,2020,December,Wednesday,43163467,622.77,620.00621,797207
2020-12-17,51,2020,December,Thursday,57432199,655.6,642.62942,1032520
2020-12-18,51,2020,December,Friday,300234026,658.34,683.754422,2078694
2020-12-21,52,2020,December,Monday,59508622,649.86,658.821468,1226736
2020-12-22,52,2020,December,Tuesday,53341349,640.34,631.958516,1150498
2020-12-23,52,2020,December,Wednesday,33909245,645.98,642.13302,643940
2020-12-24,52,2020,December,Thursday,23403515,661.77,658.506889,465759
2020-12-28,53,2020,December,Monday,33500126,663.69,669.492069,627139
2020-12-29,53,2020,December,Tuesday,23486075,665.99,662.705358,465755
2020-12-30,53,2020,December,Wednesday,43367508,694.78,684.224847,767895
2020-12-31,53,2020,December,Thursday,50365513,705.67,707.508379,915324
2021-01-04,1,2021,January,Monday,50014305,729.77,730.98216,952188
2021-01-05,1,2021,January,Tuesday,32982710,735.11,733.980519,681717
2021-01-06,1,2021,January,Wednesday,45598607,755.98,762.163686,962709
2021-01-07,1,2021,January,Thursday,52429432,816.04,800.680449,1164689
2021-01-08,1,2021,January,Friday,75632347,880.02,866.461817,1789882
2021-01-11,2,2021,January,Monday,60870710,811.19,832.105596,1652652
2021-01-12,2,2021,January,Tuesday,47476499,849.44,853.23003,1006729
2021-01-13,2,2021,January,Wednesday,34321646,854.41,846.734201,776375
2021-01-14,2,2021,January,Thursday,31907371,845.0,851.323155,695479
2021-01-15,2,2021,January,Friday,40053803,826.16,838.148663,904744
2021-01-19,3,2021,January,Tuesday,26172859,844.55,840.758297,611584
2021-01-20,3,2021,January,Wednesday,26201286,850.45,849.658443,627383
2021-01-21,3,2021,January,Thursday,21252550,844.99,847.118519,486212
2021-01-22,3,2021,January,Friday,20623643,846.64,838.728621,550053
2021-01-25,4,2021,January,Monday,42020166,880.8,873.364906,971903
2021-01-26,4,2021,January,Tuesday,23668063,883.09,885.865791,607305
2021-01-27,4,2021,January,Wednesday,28480919,864.16,868.793329,896057
2021-01-28,4,2021,January,Thursday,27295338,835.43,831.217918,935867
2021-01-29,4,2021,January,Friday,35506644,793.53,805.135597,1301803
2021-02-01,5,2021,February,Monday,26174763,839.81,823.540323,817451
2021-02-02,5,2021,February,Tuesday,24898884,872.79,869.685515,712169
2021-02-03,5,2021,February,Wednesday,18720513,854.69,861.168537,565776
2021-02-04,5,2021,February,Thursday,16156602,849.99,844.684817,488970
2021-02-05,5,2021,February,Friday,18872458,852.23,852.497197,501682
2021-02-08,6,2021,February,Monday,20673464,863.42,865.592656,577776
2021-02-09,6,2021,February,Tuesday,15459019,849.46,849.284998,537354
2021-02-10,6,2021,February,Wednesday,36970071,804.82,814.664909,1269215
2021-02-11,6,2021,February,Thursday,22440335,811.66,813.650637,634543
2021-02-12,6,2021,February,Friday,24240401,816.12,801.202087,818983
2021-02-16,7,2021,February,Tuesday,20358598,796.22,803.673584,703338
2021-02-17,7,2021,February,Wednesday,26647568,798.15,781.378568,925854
2021-02-18,7,2021,February,Thursday,18371802,787.38,786.440255,563101
2021-02-19,7,2021,February,Friday,19630722,781.3,785.768608,615730
2021-02-22,8,2021,February,Monday,38031685,714.5,738.674288,1355574
2021-02-23,8,2021,February,Tuesday,67766447,698.84,675.485212,2040541
2021-02-24,8,2021,February,Wednesday,37478423,742.02,722.148747,1004867
2021-02-25,8,2021,February,Thursday,39732207,682.22,701.553817,1292759
2021-02-26,8,2021,February,Friday,41859240,675.5,680.631712,1137056
2021-03-01,9,2021,March,Monday,28019463,718.43,707.013672,820207
2021-03-02,9,2021,March,Tuesday,24305191,686.44,702.030104,842213
2021-03-03,9,2021,March,Wednesday,30875867,653.2,675.2485,1046912
2021-03-04,9,2021,March,Thursday,66722226,621.44,625.991604,2044220
2021-03-05,9,2021,March,Friday,90222134,597.95,583.972394,2552198
2021-03-08,10,2021,March,Monday,52562596,563.0,586.669919,1582498
2021-03-09,10,2021,March,Tuesday,68663507,673.58,645.413047,1857659
2021-03-10,10,2021,March,Wednesday,61748901,668.06,683.693252,1645355
2021-03-11,10,2021,March,Thursday,37242895,699.6,692.62812,1025556
2021-03-12,10,2021,March,Friday,34136022,693.73,683.408381,1007049
2021-03-15,11,2021,March,Monday,29918404,707.94,702.234796,874730
2021-03-16,11,2021,March,Tuesday,32564472,676.88,691.42335,930904
2021-03-17,11,2021,March,Wednesday,41494645,701.81,680.147097,1015370
2021-03-18,11,2021,March,Thursday,33885246,653.16,671.581754,1017967
2021-03-19,11,2021,March,Friday,45923788,654.87,646.118855,1055688
2021-03-22,12,2021,March,Monday,40495676,670.0,685.851631,1058264
2021-03-23,12,2021,March,Tuesday,31078447,662.16,667.823159,787150
2021-03-24,12,2021,March,Wednesday,34271971,630.27,650.037754,919142
2021-03-25,12,2021,March,Thursday,39837368,640.39,629.873445,958380
2021-03-26,12,2021,March,Friday,34487228,618.71,619.008025,1104208
2021-03-29,13,2021,March,Monday,29130786,611.29,606.991371,941332
2021-03-30,13,2021,March,Tuesday,39860073,635.62,617.944778,890517
2021-03-31,13,2021,March,Wednesday,34196731,667.93,659.670429,814054
2021-04-01,13,2021,April,Thursday,35803723,661.75,675.827585,874621
2021-04-05,14,2021,April,Monday,42814383,691.05,697.249588,1056448
2021-04-06,14,2021,April,Tuesday,28683109,691.62,690.348783,658751
2021-04-07,14,2021,April,Wednesday,26611513,670.97,680.296638,590499
2021-04-08,14,2021,April,Thursday,24715587,683.8,682.676258,565985
2021-04-09,14,2021,April,Friday,21767357,677.02,675.388214,608684
2021-04-12,15,2021,April,Monday,29307201,701.98,698.041674,766944
2021-04-13,15,2021,April,Tuesday,44838286,762.32,742.095005,1162432
2021-04-14,15,2021,April,Wednesday,49385460,732.23,755.097954,1254542
2021-04-15,15,2021,April,Thursday,28002734,738.85,732.67289,723299
2021-04-16,15,2021,April,Friday,28218172,739.78,736.530788,733237
2021-04-19,16,2021,April,Monday,39881308,714.63,708.840267,1003201
2021-04-20,16,2021,April,Tuesday,35750038,718.99,722.133483,823312
2021-04-21,16,2021,April,Wednesday,31384728,744.12,724.429926,749375
2021-04-22,16,2021,April,Thursday,35945443,719.69,734.74709,861049
2021-04-23,16,2021,April,Friday,29367706,729.4,728.897934,627334
2021-04-26,17,2021,April,Monday,31796451,738.2,736.75498,877972
2021-04-27,17,2021,April,Tuesday,29892736,704.74,711.063501,907372
2021-04-28,17,2021,April,Wednesday,22538829,694.4,698.984296,694146
2021-04-29,17,2021,April,Thursday,29218543,677.0,681.239202,899792
2021-04-30,17,2021,April,Friday,41416909,709.44,698.79164,1011794
2021-05-03,18,2021,May,Monday,27465682,684.9,690.170968,761160
2021-05-04,18,2021,May,Tuesday,30326191,673.6,667.635657,872723
2021-05-05,18,2021,May,Wednesday,22273876,670.94,674.563585,564903
2021-05-06,18,2021,May,Thursday,27943659,663.54,663.20965,714548
2021-05-07,18,2021,May,Friday,23858482,672.37,672.169368,580843
2021-05-10,19,2021,May,Monday,32108300,629.04,641.995908,939962
2021-05-11,19,2021,May,Tuesday,47301041,617.2,611.64048,1221352
2021-05-12,19,2021,May,Wednesday,33992846,589.89,601.561474,983385
2021-05-13,19,2021,May,Thursday,44392332,571.69,579.84942,1295232
2021-05-14,19,2021,May,Friday,33387906,589.74,583.406388,879142
